ADDRESS,LOCATION_TYPE,LATITUDE,LONGITUDE
'undefined','APPROXIMATE',-3.10194,-60.025
'undefined','APPROXIMATE',19.3921,-99.1871
'undefined','APPROXIMATE',14.6488,121.0509
'undefined','APPROXIMATE',39.76,-98.5
'undefined','APPROXIMATE',35.88933,-5.31979
'Cleveland, OH, USA.','ROOFTOP',41.489381,-81.667486
'Los Angeles, CA','ROOFTOP',33.973951,-118.248405
'undefined','APPROXIMATE',37.98869,-84.47772
'undefined','APPROXIMATE',-7.9797,112.6304
'undefined','APPROXIMATE',39.76,-98.5
'undefined','APPROXIMATE',-34.72418,-58.25265
'Orlando, FL','ROOFTOP',28.545179,-81.373291
'undefined','APPROXIMATE',37.5,36.0833
'San Antonio, TX','ROOFTOP',29.468413,-98.528889
'undefined','APPROXIMATE',40.96882,-5.66388
'undefined','APPROXIMATE',-27,-50
'undefined','APPROXIMATE',39.76838,-86.15804
'undefined','APPROXIMATE',31.1801,-91.8749
'undefined','APPROXIMATE',-22.99333,-57.99639
'undefined','APPROXIMATE',-36,-60
'Pittsburgh, PA','ROOFTOP',40.47441,-79.950968
'undefined','APPROXIMATE',60.10867,-113.64258
'undefined','APPROXIMATE',34.42083,-119.69819
'undefined','APPROXIMATE',-22.99333,-57.99639
'San Clemente, CA','ROOFTOP',33.42362,-117.606843
'Naperville, Illinois ','ROOFTOP',41.759029,-88.152381
'undefined','APPROXIMATE',28.75054,-82.5001
'undefined','APPROXIMATE',43.80583,4.66028
'Lansdale, PA','ROOFTOP',40.224245,-75.29156
'Tulsa, OK.','ROOFTOP',36.153982,-95.992775
'undefined','APPROXIMATE',52.92053,-4.2346
'undefined','APPROXIMATE',-33.45694,-70.64827
'Columbus, OH','ROOFTOP',40.100924,-83.013402
'undefined','APPROXIMATE',-37.814,144.96332
'undefined','APPROXIMATE',44,112
'undefined','APPROXIMATE',25.67506,-100.31846
'undefined','APPROXIMATE',44.25029,-85.50033
'undefined','APPROXIMATE',49.8844,-97.14704
'San Francisco, CA','ROOFTOP',37.784827,-122.727802
'undefined','APPROXIMATE',39.6945,-8.13057
'undefined','APPROXIMATE',8,-66
'undefined','APPROXIMATE',44.25029,-85.50033
'undefined','APPROXIMATE',38.71667,-9.13333
'Philadelphia, PA','ROOFTOP',39.952335,-75.163789
'undefined','APPROXIMATE',-26.81427,-54.34387
'undefined','APPROXIMATE',-33.86785,151.20732
'undefined','APPROXIMATE',23,-102
'undefined','APPROXIMATE',44.25029,-85.50033
'undefined','APPROXIMATE',31.106,-97.6475
'undefined','APPROXIMATE',13.72341,100.78436
'Boston, MA','ROOFTOP',42.370567,-71.026964
'Los Angeles, CA','ROOFTOP',33.973951,-118.248405
'College Park, MD','ROOFTOP',39.002867,-76.931652
'undefined','APPROXIMATE',13,122
'undefined','APPROXIMATE',-34,-64
'undefined','APPROXIMATE',34.50034,-106.00085
'undefined','APPROXIMATE',-34,-64
'Ellicott City, MD','ROOFTOP',39.236405,-76.941902
'Lincoln, NE','ROOFTOP',40.865142,-96.823133
'undefined','APPROXIMATE',39.8453,33.5064
'undefined','APPROXIMATE',39.76,-98.5
'Bay Harbor Islands, FL','ROOFTOP',25.887595,-80.131156
'undefined','APPROXIMATE',40.742185,-73.992602
'undefined','APPROXIMATE',33.50921,-111.89903
'Kitsap County, WA','ROOFTOP',47.364739,-122.276482
'Sellersburg, IN','ROOFTOP',38.404577,-85.787963
'New York, NY','ROOFTOP',40.714269,-74.005973
'undefined','APPROXIMATE',-8.05389,-34.88111
'undefined','APPROXIMATE',27,30
'undefined','APPROXIMATE',-0.22985,-78.52495
'undefined','APPROXIMATE',2.196,102.2405
'undefined','APPROXIMATE',40.4259,-3.6854
'undefined','APPROXIMATE',34.23314,-102.41075
'undefined','APPROXIMATE',-34,-64
'undefined','APPROXIMATE',-10,-55
'undefined','APPROXIMATE',-30.03306,-51.23
'undefined','APPROXIMATE',13.75398,100.50144
'undefined','APPROXIMATE',44.7501,-79.88296
'undefined','APPROXIMATE',-37.10794,-56.8614
'undefined','APPROXIMATE',-27.4806,-58.8341
'undefined','APPROXIMATE',48.43293,-123.48591
'undefined','APPROXIMATE',-10,-55
'undefined','APPROXIMATE',41.38879,2.15899
'McKinney, TX','ROOFTOP',33.181157,-96.497182
'undefined','APPROXIMATE',37.77493,-122.41942
'undefined','APPROXIMATE',39.8647,-86.2604
'undefined','APPROXIMATE',38.71667,-9.13333
'undefined','APPROXIMATE',34.09001,-118.36174
'undefined','APPROXIMATE',53.48095,-2.23743
'Leeds, England','ROOFTOP',53.7974185,-1.5437941
'undefined','APPROXIMATE',-10,-55
'California','ROOFTOP',35.125624,-118.021353
'undefined','APPROXIMATE',57.05,18.2667
'undefined','APPROXIMATE',35.6895,139.69171
'undefined','APPROXIMATE',-9.21667,-35.33667
'undefined','APPROXIMATE',3.43722,-76.5225
'Englewood, NJ','ROOFTOP',40.889498,-73.971782
'undefined','APPROXIMATE',35.6895,139.69171
'Gary indiana','ROOFTOP',41.590686,-87.319937
'Nashville, TN','ROOFTOP',36.165688,-86.778098
'United States of America','ROOFTOP',40.219809,-79.495329
'undefined','APPROXIMATE',-30,-71
'undefined','APPROXIMATE',-23,-58
'undefined','APPROXIMATE',-10,-55
'undefined','APPROXIMATE',-18,-44
'undefined','APPROXIMATE',34.00043,-81.00009
'undefined','APPROXIMATE',34.05223,-118.24368
'undefined','APPROXIMATE',-31.95224,115.8614
'undefined','APPROXIMATE',-36,-60
'undefined','APPROXIMATE',40.16706,-74.49987
'undefined','APPROXIMATE',41.85003,-87.65005
'undefined','APPROXIMATE',-22.90278,-43.2075
'undefined','APPROXIMATE',48.85341,2.3488
'Lake Worth, FL','ROOFTOP',26.645895,-80.430269
'🗝 North Carolina, USA','ROOFTOP',35.97502,-80.133442
'undefined','APPROXIMATE',10,8
'undefined','APPROXIMATE',44.23341,-68.31946
'undefined','APPROXIMATE',-22.90556,-47.06083
'undefined','APPROXIMATE',50.53885,-4.93664
'Roanoke, VA','ROOFTOP',37.274175,-79.95786
'undefined','APPROXIMATE',8,-66
'undefined','APPROXIMATE',28.75054,-82.5001
'undefined','APPROXIMATE',-30,-71
'undefined','APPROXIMATE',2.5,112.5
'undefined','APPROXIMATE',-34,-64
'undefined','APPROXIMATE',48.42606,-1.57431
'undefined','APPROXIMATE',53.57532,10.01534
'Peoria, IL','ROOFTOP',40.693137,-89.589847
'undefined','APPROXIMATE',33.44838,-112.07404
'One-Party-Rule California','ROOFTOP',36.26665,-117.592686
'undefined','APPROXIMATE',35.6895,139.69171
'undefined','APPROXIMATE',38.71667,-9.13333
'Chicago, IL','ROOFTOP',41.850033,-87.650052
'undefined','APPROXIMATE',-18,-44
'undefined','APPROXIMATE',47.60621,-122.33207
'undefined','APPROXIMATE',59.33258,18.0649
'pennsylvania, usa','ROOFTOP',40.696298,-77.995133
'undefined','APPROXIMATE',42.51396,-76.3466
'undefined','APPROXIMATE',43.24538,-5.5629
'undefined','APPROXIMATE',48.85341,2.3488
'undefined','APPROXIMATE',49.25014,-84.49983
'undefined','APPROXIMATE',39.46667,-8.2
'undefined','APPROXIMATE',42.36565,-71.10832
'undefined','APPROXIMATE',19.42847,-99.12766
'undefined','APPROXIMATE',-12.04318,-77.02824
'Tijuana, Baja California','ROOFTOP',34.643265,-118.257416
'London, England','ROOFTOP',51.5072648,-0.1278328
'undefined','APPROXIMATE',40.4165,-3.70256
'California, USA','ROOFTOP',35.125624,-118.021353
'No Longer Overtaxed America','ROOFTOP',41.277582,-76.511893
'Sugar Land, TX','ROOFTOP',29.620312,-95.605693
'undefined','APPROXIMATE',40.54173,-79.79922
'undefined','APPROXIMATE',-36,-60
'undefined','APPROXIMATE',10.48801,-66.87919
'Rhode Island, USA','ROOFTOP',41.642297,-71.230522
'Washington, DC','ROOFTOP',38.895112,-77.036366
'undefined','APPROXIMATE',-28.6275,-65.6261
'undefined','APPROXIMATE',4.53389,-75.68111
'undefined','APPROXIMATE',-37.814,144.96332
'undefined','APPROXIMATE',-0.22985,-78.52495
'Atlanta, GA','ROOFTOP',33.844371,-84.47405
'undefined','APPROXIMATE',-34.42603,-58.57962
'undefined','APPROXIMATE',-31.63333,-60.7
'undefined','APPROXIMATE',39.00027,-105.50083
'undefined','APPROXIMATE',47.50012,-120.50147
'undefined','APPROXIMATE',34.06334,-117.65089
'Seattle, WA','ROOFTOP',47.432251,-121.803388
'undefined','APPROXIMATE',31.25044,-99.25061
'undefined','APPROXIMATE',46,2
'undefined','APPROXIMATE',32.08088,34.78057
'undefined','APPROXIMATE',35.02107,135.75385
'undefined','APPROXIMATE',8,-66
'undefined','APPROXIMATE',-32.94682,-60.63932
'undefined','APPROXIMATE',48.68439,6.18496
'undefined','APPROXIMATE',-33.45694,-70.64827
'undefined','APPROXIMATE',41.66704,-72.66648
'undefined','APPROXIMATE',35.6895,139.69171
'Ventura, CA','ROOFTOP',34.330829,-119.358352
'undefined','APPROXIMATE',52.28333,-117.469
